,Date,AvgTemperture,AverageDew(point via humidity),Humidity,Wind,Pressure,Solar(PV)
0,4/1/2022,87.9,31.3,13.4,5.7,29.2,19.01085714
2,4/3/2022,90.2,34,14.2,6.6,29.1,16.88571429
3,4/4/2022,93.2,31.4,11.8,8.8,29.1,19.62742857
4,4/5/2022,92.5,24.9,9.4,8,29.1,18.92942857
5,4/6/2022,91.2,18.9,7.8,9.4,29.2,18.934
6,4/7/2022,94,26.3,9.4,11,29.2,17.43514286
7,4/8/2022,92.3,24.9,10,6.5,29.1,16.71771429
8,4/9/2022,92.5,30.4,11.9,8.9,29.1,17.14628571
9,4/10/2022,90.6,32,13.3,8.5,29.1,15.93885714
10,4/11/2022,89.9,30.4,12.3,7.9,29.1,16.93914286
11,4/12/2022,84.8,29.2,14,12.2,29.1,15.09142857
12,4/13/2022,78.7,28.5,17.8,8.9,29.1,19.33571429
13,4/14/2022,78.9,24.9,16.4,8.1,29.1,19.55371429
14,4/15/2022,83.9,18.8,10.3,7.8,29.1,23.59771429
15,4/16/2022,86.9,23.5,10.6,6.3,29.1,21.01285714
16,4/17/2022,91.6,26.6,10,6.8,29.1,22.77028571
17,4/18/2022,92,26.7,10.4,5,29,22.112
18,4/19/2022,85.2,37.4,19,12.3,29.1,20.432
19,4/20/2022,80.6,29.5,16.6,12.7,29.2,16.17942857
20,4/21/2022,77.7,26.7,17.5,8.5,29.1,16.29342857
21,4/22/2022,84,24.8,12.2,6.9,29.1,18.65428571
22,4/23/2022,82.6,17.4,10.4,9.1,29,17.75114286
23,4/24/2022,84.2,21.4,10.1,4.6,29,20.66314286
24,4/25/2022,88.9,25.6,10.8,5.7,29,18.07685714
25,4/26/2022,89.1,27.4,11.3,7,29,19.68
26,4/27/2022,89,34.3,17.4,7.7,29,17.42057143
27,4/28/2022,90.3,31.8,13.3,5.8,29,20.02685714
28,4/29/2022,92.1,28.6,10.8,5.2,29.1,18.788
29,4/1/2022,87.9,31.3,13.4,5.7,29.2,19.01085714
31,4/3/2022,90.2,34,14.2,6.6,29.1,16.88571429
32,4/4/2022,93.2,31.4,11.8,8.8,29.1,19.62742857
33,4/5/2022,92.5,24.9,9.4,8,29.1,18.92942857
34,4/6/2022,91.2,18.9,7.8,9.4,29.2,18.934
35,4/7/2022,94,26.3,9.4,11,29.2,17.43514286
36,4/8/2022,92.3,24.9,10,6.5,29.1,16.71771429
37,4/9/2022,92.5,30.4,11.9,8.9,29.1,17.14628571
38,4/10/2022,90.6,32,13.3,8.5,29.1,15.93885714
39,4/11/2022,89.9,30.4,12.3,7.9,29.1,16.93914286
40,4/12/2022,84.8,29.2,14,12.2,29.1,15.09142857
41,4/13/2022,78.7,28.5,17.8,8.9,29.1,19.33571429
42,4/14/2022,78.9,24.9,16.4,8.1,29.1,19.55371429
43,4/15/2022,83.9,18.8,10.3,7.8,29.1,23.59771429
44,4/16/2022,86.9,23.5,10.6,6.3,29.1,21.01285714
45,4/17/2022,91.6,26.6,10,6.8,29.1,22.77028571
46,4/18/2022,92,26.7,10.4,5,29,22.112
47,4/19/2022,85.2,37.4,19,12.3,29.1,20.432
48,4/20/2022,80.6,29.5,16.6,12.7,29.2,16.17942857
49,4/21/2022,77.7,26.7,17.5,8.5,29.1,16.29342857
50,4/22/2022,84,24.8,12.2,6.9,29.1,18.65428571
51,4/23/2022,82.6,17.4,10.4,9.1,29,17.75114286
52,4/24/2022,84.2,21.4,10.1,4.6,29,20.66314286
53,4/25/2022,88.9,25.6,10.8,5.7,29,18.07685714
54,4/26/2022,89.1,27.4,11.3,7,29,19.68
55,4/27/2022,89,34.3,17.4,7.7,29,17.42057143
56,4/28/2022,90.3,31.8,13.3,5.8,29,20.02685714
57,4/29/2022,92.1,28.6,10.8,5.2,29.1,18.788
58,3/1/2022,72.7,21.6,17.1,8.5,29.3,23.91428571
59,3/2/2022,75.6,32.4,21.2,6.5,29.2,16.40828571
60,3/3/2022,73,22.3,15.7,12.9,29.2,20.15485714
